decade,year,artists,name,genres,duration_ms,artist_song,release_date,valence,acousticness,danceability,energy,explicit,instrumentalness,key,liveness,loudness,mode,popularity,speechiness,tempo,id
1930,1935,"Ludwig van Beethoven, Karl Böhm, Staatskapelle Dresden","Beethoven: Symphony No. 9 in D Minor, Op. 125 ""Choral"": III. Adagio molto e cantabile - Andante moderato",,993427,"Ludwig van Beethoven, Karl Böhm, Staatskapelle Dresden - Beethoven: Symphony No. 9 in D Minor, Op. 125 ""Choral"": III. Adagio molto e cantabile - Andante moderato",1935,0.0973,0.927,0.154,0.077,0,0.9079999999999999,10,0.564,-23.2,1,0,0.040999999999999995,102.728,1YnmAenKanDp1Cg9lARum7
1930,1939,"Ludwig van Beethoven, Arturo Toscanini","Symphony No. 3 in E-Flat Major, Op. 55 ""Eroica"": II. Marcia funebre. Adagio assai",,982960,"Ludwig van Beethoven, Arturo Toscanini - Symphony No. 3 in E-Flat Major, Op. 55 ""Eroica"": II. Marcia funebre. Adagio assai",1939,0.0597,0.5489999999999999,0.127,0.0399,0,0.545,0,0.17,-18.884,0,0,0.0431,174.96099999999996,0G8LTse955EVKE9F1iomKp
1930,1935,"Samuel Barber, Leontyne Price, Thomas Schippers, New Philharmonia Orchestra","Knoxville: Summer of 1915, Op. 24",,978880,"Samuel Barber, Leontyne Price, Thomas Schippers, New Philharmonia Orchestra - Knoxville: Summer of 1915, Op. 24",1935,0.0501,0.981,0.207,0.0842,0,0.0207,6,0.0945,-19.423,0,0,0.0394,96.631,6vX7yf7rQSN2jXUUcvTfYo
1930,1937,"Erik Satie, Darius Milhaud, Suzanne Danco, Orchestra Sinfonica Della Rai Di Roma",Socrate: III. La mort de Socrate,,978120,"Erik Satie, Darius Milhaud, Suzanne Danco, Orchestra Sinfonica Della Rai Di Roma - Socrate: III. La mort de Socrate",1937,0.13,0.9890000000000001,0.349,0.191,0,0.0,7,0.4,-13.334000000000001,1,0,0.0805,72.77,6yzWLBn1yUtprltusEuYgD
1930,1936,"Ludwig van Beethoven, Wilma Lipp, Marga Höffgen, Murray Dickie, Gottlob Frick, Chorale Elisabeth Brasseur, Orchestre De La Société Des Concerts Du Conservatoire, Carl Schuricht","Symphony No. 9 in D Minor, Op. 125 ""Ode to Joy"": III. Adagio molto e cantabile - Andante moderato",,975893,"Ludwig van Beethoven, Wilma Lipp, Marga Höffgen, Murray Dickie, Gottlob Frick, Chorale Elisabeth Brasseur, Orchestre De La Société Des Concerts Du Conservatoire, Carl Schuricht - Symphony No. 9 in D Minor, Op. 125 ""Ode to Joy"": III. Adagio molto e cantabile - Andante moderato",1936,0.0521,0.977,0.10300000000000001,0.0643,0,0.9159999999999999,10,0.107,-24.898000000000003,1,0,0.0373,90.139,2IlyhOq7oBmkeCSG9XusKQ
1930,1935,"Anton Bruckner, Karl Böhm, Staatskapelle Dresden","Bruckner: Symphony No. 4 in E-Flat Major, ""Romantic"": II. Andante, quasi allegretto",,969213,"Anton Bruckner, Karl Böhm, Staatskapelle Dresden - Bruckner: Symphony No. 4 in E-Flat Major, ""Romantic"": II. Andante, quasi allegretto",1935,0.0384,0.968,0.135,0.0316,0,0.747,8,0.0898,-22.843000000000004,1,0,0.0407,79.764,2pRtrDN8mi9VhFnWA307Bs
1930,1936,"Richard Wagner, Arturo Toscanini","Siegfried Idyll, WWV 103",,968813,"Richard Wagner, Arturo Toscanini - Siegfried Idyll, WWV 103",1936,0.0529,0.883,0.0968,0.0646,0,0.799,4,0.397,-21.02,1,0,0.0394,80.71300000000002,3Ra8OWEDaAZwnQgQ1LLAb6
1930,1935,"Ludwig van Beethoven, Karl Böhm, Staatskapelle Dresden","Beethoven: Piano Concerto No. 3 in C Minor, Op. 37: I. Allegro con brio",,967520,"Ludwig van Beethoven, Karl Böhm, Staatskapelle Dresden - Beethoven: Piano Concerto No. 3 in C Minor, Op. 37: I. Allegro con brio",1935,0.145,0.977,0.318,0.163,0,0.812,0,0.107,-16.864,0,0,0.0378,136.654,0DTXV3Ulp10fnoWg0gtSsO
1930,1935,"Johannes Brahms, Karl Böhm, Staatskapelle Dresden","Brahms: Piano Concerto No. 2 in B-Flat Major, Op. 83: I. Allegro non troppo",,964253,"Johannes Brahms, Karl Böhm, Staatskapelle Dresden - Brahms: Piano Concerto No. 2 in B-Flat Major, Op. 83: I. Allegro non troppo",1935,0.10300000000000001,0.9640000000000001,0.34299999999999997,0.154,0,0.898,10,0.0875,-18.075,1,0,0.0333,103.736,0HHOyBTHDihp7ccMAsl0AG
1930,1935,"Richard Strauss, Karl Böhm, Staatskapelle Dresden","Strauss, R: Don Juan, Op. 20, TrV 156",,959867,"Richard Strauss, Karl Böhm, Staatskapelle Dresden - Strauss, R: Don Juan, Op. 20, TrV 156",1935,0.048,0.894,0.159,0.23399999999999999,0,0.895,7,0.304,-12.633,1,0,0.0329,90.109,5Klp7g6ZZTQmwnLFoEnNbA
